,locations,parameters,as.numeric.median.out..,data2$new_result_units[1]
305,PIECOMM_OUT,HPAH - Solid/Sediment - Total,2474.4,ug/Kg
306,PIECOMM_OUT,Nitrite-Nitrate - Water - Dissolved,310,ug/L
307,PIECOMM_OUT,Total Suspended Solids - Water - Total,25000,ug/L
308,PIECOMM_OUT,Pyrene - Solid/Sediment - Total,728,ug/Kg
309,PIECOMM_OUT,Chrysene - Solid/Sediment - Total,278,ug/Kg
310,PIECOMM_OUT,Zinc - Water - Total,68.1,ug/L
311,PIECOMM_OUT,Copper - Water - Dissolved,5.4,ug/L
312,PIECOMM_OUT,Phenanthrene - Solid/Sediment - Total,203,ug/Kg
313,PIECOMM_OUT,Copper - Water - Total,10.8,ug/L
314,PIECOMM_OUT,Total Phosphorus - Water - Total,60,ug/L
315,PIECOMM_OUT,CPAH - Solid/Sediment - Total,1106.4,ug/Kg
316,PIECOMM_OUT,Zinc - Water - Dissolved,39.4,ug/L
317,PIECOMM_OUT,Fluoranthene - Solid/Sediment - Total,362,ug/Kg
318,PIECOMM_OUT,LPAH - Solid/Sediment - Total,284.7,ug/Kg
319,PIECOMM_OUT,Lead - Water - Total,5.24,ug/L
320,PIECOMM_OUT,Total Kjeldahl Nitrogen - Water - Total,700,ug/L
321,PIECOMM_OUT,Cadmium - Water - Total,0.14,ug/L
322,PIECOMM_OUT,Total TPHDx - Water - Total,870,ug/L
323,PIECOMM_OUT,Biochemical Oxygen Demand - Water - Total,4300,ug/L
324,PIECOMM_OUT,"Indeno(1,2,3-cd)pyrene - Solid/Sediment - Total",111,ug/Kg
325,PIECOMM_OUT,Total PAH - Water - Total,0.1,ug/L
326,PIECOMM_OUT,Total Benzofluoranthenes - Solid/Sediment - Total,359,ug/Kg
327,PIECOMM_OUT,Benzo(b)fluoranthene - Solid/Sediment - Total,234,ug/Kg
328,PIECOMM_OUT,Bis(2-ethylhexyl) phthalate - Water - Total,4.64,ug/L
329,PIECOMM_OUT,p-Cresol - Solid/Sediment - Total,311,ug/Kg
330,PIECOMM_OUT,Diesel Range Organics - Water - Total,NA,ug/L
331,PIECOMM_OUT,Benzo(a)pyrene - Solid/Sediment - Total,154,ug/Kg
332,PIECOMM_OUT,Lead - Water - Dissolved,0.2,ug/L
333,PIECOMM_OUT,Mercury - Solid/Sediment - Total,NA,ug/Kg
334,PIECOMM_OUT,Benzo(k)fluoranthene - Solid/Sediment - Total,131,ug/Kg
335,PIECOMM_OUT,HPAH - Water - Total,0.09,ug/L
336,PIECOMM_OUT,Anthracene - Solid/Sediment - Total,25.6,ug/Kg
337,PIECOMM_OUT,Benz(a)anthracene - Solid/Sediment - Total,108,ug/Kg
338,PIECOMM_OUT,Heavy Fuel Oil - Water - Total,870,ug/L
339,PIECOMM_OUT,"Benzo(g,h,i)perylene - Solid/Sediment - Total",136,ug/Kg
340,PIECOMM_OUT,Pyrene - Water - Total,0.09,ug/L
341,PIECOMM_OUT,Butyl benzyl phthalate - Solid/Sediment - Total,740,ug/Kg
342,PIECOMM_OUT,Cadmium - Water - Dissolved,0.08,ug/L
343,PIECOMM_OUT,"Dibenzo(a,h)anthracene - Solid/Sediment - Total",27.4,ug/Kg
344,PIECOMM_OUT,LPAH - Water - Total,0.079,ug/L
345,PIEHIRES_OUT,Lead - Solid/Sediment - Total,5900,ug/Kg
346,PIEHIRES_OUT,Copper - Solid/Sediment - Total,18100,ug/Kg
347,PIEHIRES_OUT,Zinc - Solid/Sediment - Total,72600,ug/Kg
348,PIEHIRES_OUT,Cadmium - Solid/Sediment - Total,NA,ug/Kg
349,PIEHIRES_OUT,Total Phthalate - Water - Total,2.21,ug/L
350,PIEHIRES_OUT,Total PAH - Solid/Sediment - Total,NA,ug/Kg
351,PIEHIRES_OUT,Ortho-phosphate - Water - Dissolved,16,ug/L
